question;chunk_id;section_name;chapter_name
В каком городе Райделл и Карен Мендельсон пересели с конвертиплана на лайнер, направлявшийся в LAX?;e0b72e05a4593b5ac60ec9f912ecbad6;В жизнь Райделла вошло...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какой предмет, приобретенный по новой кредитной карточке, взял с собой Райделл?;e0b72e05a4593b5ac60ec9f912ecbad6;В жизнь Райделла вошло...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
В каком ресторане Райделл и Аарон Персли ужинали в Голливуде?;e0b72e05a4593b5ac60ec9f912ecbad6;В жизнь Райделла вошло...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какой предмет Райделл использовал для объезда гор и каньонов, и что он замечал во время ночных поездок?;e74227615095d2cef73673825dc8a764;А лучше всего было...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Что, по мнению Саблетта, поразило Райделла в женщине, которую он увидел в ущелье, и как он отреагировал на это?;e74227615095d2cef73673825dc8a764;А лучше всего было...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Каким образом Райделл описывал исчезновение женщины, и какие противоречивые детали он помнил?;e74227615095d2cef73673825dc8a764;А лучше всего было...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Что Райделл и Саблетт обсуждали в последнюю ночь работы на ""Интенсекьюр"", и какое мнение у каждого из них было об этой сети залов?";e74227615095d2cef73673825dc8a764;А лучше всего было...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
В каком здании проживала Карен Мендельсон, и какое прозвище дали этому зданию местные жители?;c118f7a83251f7a42b2950d992cf1072;В результате Райделл так...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какие предметы одежды предпочитала Карен Мендельсон, и как она сама описывала свой стиль?;c118f7a83251f7a42b2950d992cf1072;В результате Райделл так...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какую организацию представляли рентакопы, выпроводившие Райделла из квартиры Карен?;c118f7a83251f7a42b2950d992cf1072;В результате Райделл так...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Что заставило Райделла покинуть квартиру Карен, и какие предметы он взял с собой, собираясь?;c118f7a83251f7a42b2950d992cf1072;В результате Райделл так...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Какую необычную особенность продемонстрировал броневик ""Громила"" во время преследования, удивив Райделла?";d30965b1c0d1e0e7df3982e0a667c6dc;А ведь не прав Эрнандес...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Что, по словам Саблетта, произошло с прислугой в доме клиента?;d30965b1c0d1e0e7df3982e0a667c6dc;А ведь не прав Эрнандес...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Какой предмет, купленный на Мелроуз-авеню, был случайно снесён передним бампером ""Громилы""?";d30965b1c0d1e0e7df3982e0a667c6dc;А ведь не прав Эрнандес...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какие жизненные показатели детей клиента отображались на экране, и что это говорило о их состоянии?;d30965b1c0d1e0e7df3982e0a667c6dc;А ведь не прав Эрнандес...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Какое устройство, согласно описанию, было установлено на воротах ""Интенсекьюр""?";9e23d3c1fbc809e98e56652c8d0fa2e2;Через неделю когда пена...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Что, по словам Эрнандеса, придется предложить Шонбруннам в качестве компенсации за ""эмоциональные страдания""?";9e23d3c1fbc809e98e56652c8d0fa2e2;Через неделю когда пена...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
В какой организации Райделл работал до инцидента, о котором идет речь, судя по надписи на его футболке?;9e23d3c1fbc809e98e56652c8d0fa2e2;Через неделю когда пена...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какие меры были приняты в отношении Райделла после происшествия, помимо снятия с патрулирования, согласно предложению Эрнандеса?;9e23d3c1fbc809e98e56652c8d0fa2e2;Через неделю когда пена...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Какое ощущение испытал Райделл, проламывая шонбрунновские ворота с помощью ""Громилы""?";713a46dedbe4a75dc6918efbe5bd4878;"Проламывая ""Громилой""...";"2. ""ГРОМИЛА"" В ДЕЛЕ"
Что Райделл вспомнил, когда боролся с рулем, прорываясь через японский сад камней?;713a46dedbe4a75dc6918efbe5bd4878;"Проламывая ""Громилой""...";"2. ""ГРОМИЛА"" В ДЕЛЕ"
Кого Райделл однажды выстрелил из револьвера, и где произошло это событие?;713a46dedbe4a75dc6918efbe5bd4878;"Проламывая ""Громилой""...";"2. ""ГРОМИЛА"" В ДЕЛЕ"
В каком месте Райделл навещал Саблетта?;63a4bf3f422cb0bb8e5d682dc7cb3f31;"Райделл поехал в ""Кедры""...";"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Какой предмет использовал Саблетт для просмотра фильма ""Воины двадцать первого века""?";63a4bf3f422cb0bb8e5d682dc7cb3f31;"Райделл поехал в ""Кедры""...";"2. ""ГРОМИЛА"" В ДЕЛЕ"
Что, по мнению Эрнандеса, беспокоит Райделла относительно его работы?;63a4bf3f422cb0bb8e5d682dc7cb3f31;"Райделл поехал в ""Кедры""...";"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Какую организацию, помимо ""Интенсекьюра"", пытались отрезать от связи хакеры?";63a4bf3f422cb0bb8e5d682dc7cb3f31;"Райделл поехал в ""Кедры""...";"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какое оружие Райделл счел наиболее подходящим для перестрелки в помещении, где содержатся дети, и как он его назвал?;e663f360fb0518a6d87f692bba35b280;И может быть в эти...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Что Саблетт отщелкнул перед тем, как выскочить из машины, и что он сделал сразу после этого?;e663f360fb0518a6d87f692bba35b280;И может быть в эти...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какие предметы были найдены на теле миссис Шонбрунн, когда полицейские обнаружили ее в детской?;e663f360fb0518a6d87f692bba35b280;И может быть в эти...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
"Что вспомнил Райделл, когда Саблетт произнес имя ""Берри"", и какое название фильма он назвал?";e663f360fb0518a6d87f692bba35b280;И может быть в эти...;"2. ""ГРОМИЛА"" В ДЕЛЕ"
Какой предмет Шеветта позаимствовала у Скиннера, предпочитая его современной экипировке?;4c885114d94b6c973c793edc56ec5736;Шеветта никогда не...;3. НЕХОРОШАЯ ВЕЧЕРИНКА
"В каком районе Нью-Йорка, известном преступностью, находились мусорные костры, освещавшие ""безжизненно-тусклые"" лица?";4c885114d94b6c973c793edc56ec5736;Шеветта никогда не...;3. НЕХОРОШАЯ ВЕЧЕРИНКА
Какой гаджет использовали охранники холла, чтобы проверить Шеветту перед тем, как пропустить ее в лифт?;4c885114d94b6c973c793edc56ec5736;Шеветта никогда не...;3. НЕХОРОШАЯ ВЕЧЕРИНКА
Что, по словам Скиннера, никогда не бывает во рту у богатых людей?;4c885114d94b6c973c793edc56ec5736;Шеветта никогда не...;3. НЕХОРОШАЯ ВЕЧЕРИНКА
Какое имя назвала женщина, с которой разговаривала Шеветта, прежде чем попрощаться?;b41586e7c18f566a55ca3f3c4463fcf1;А тебе это нравится...;3. НЕХОРОШАЯ ВЕЧЕРИНКА
"Что Шеветта спрятала за брючный ремень, незаметно для ""европейца сраного""?";b41586e7c18f566a55ca3f3c4463fcf1;А тебе это нравится...;3. НЕХОРОШАЯ ВЕЧЕРИНКА
Какой предмет, по словам Шеветты, напоминал ей о работе в конторах, вызывая приступ клаустрофобии?;b41586e7c18f566a55ca3f3c4463fcf1;А тебе это нравится...;3. НЕХОРОШАЯ ВЕЧЕРИНКА
Что, согласно тексту, висит на красном нейлоновом шнурке у охранника в лифте?;b41586e7c18f566a55ca3f3c4463fcf1;А тебе это нравится...;3. НЕХОРОШАЯ ВЕЧЕРИНКА
В каком магазине работал Кевин Тарковский и какое необычное украшение он носил в ноздре?;0f53e44098ebc957cc235aa3bc082c24;Райделлов сосед по...;4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
"Что Кевин предложил Райделу, узнав о его увольнении из ""Интенсекьюр"", и на что он обратил внимание во внешности Райделла?";0f53e44098ebc957cc235aa3bc082c24;Райделлов сосед по...;4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
Какой предмет одежды Райделл надевал, когда ходил к Эрнандесу, и кому он принадлежал?;0f53e44098ebc957cc235aa3bc082c24;Райделлов сосед по...;4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
Что Райделл узнал о костюмах из магазина Кевина во время похода на овощной рынок, и как они реагировали на изменения погодных условий?;0f53e44098ebc957cc235aa3bc082c24;Райделлов сосед по...;4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
Какое учебное заведение закончил Райделл, согласно информации, полученной Соней?;1487e6dd41dd1f85cc7ebe3a3a4957c6;Итак вздернула носик...;4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
В какой корпорации и в каком отделе работал Берри (Райделл) в Лос-Анджелесе?;1487e6dd41dd1f85cc7ebe3a3a4957c6;Итак вздернула носик...;4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
Какой предмет, по мнению Райделла, можно было бы вынуть из Сони для изучения?;1487e6dd41dd1f85cc7ebe3a3a4957c6;Итак вздернула носик...;4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
Что Кевин предложил Райделу, чтобы помочь в поиске работы, и в каком районе находится место, которое он посоветовал?;1487e6dd41dd1f85cc7ebe3a3a4957c6;Итак вздернула носик...;4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
"Какую картину Райделл рассматривал в витрине ""Фольклорного КошмАрта"", и чем она отличалась от других подобных работ, которые он видел ранее?";e11644faf47e199b44dd6273b44de07b;"В витрине ""Фольклорного...";4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
На какой улице Райделл попросил Кевина остановиться, и что он заметил, осматривая окрестности в поисках магазина?;e11644faf47e199b44dd6273b44de07b;"В витрине ""Фольклорного...";4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
"Какие две машины стояли перед магазином ""Фольклорный КошмАрт"", и почему Райделл обошел одну из них по широкой дуге?";e11644faf47e199b44dd6273b44de07b;"В витрине ""Фольклорного...";4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
В каких штатах, по мнению Джастин Купер, не водятся люди, похожие на нее, и чем она объяснила, почему афроамериканские клиенты покупают товары в ее магазине?;e11644faf47e199b44dd6273b44de07b;"В витрине ""Фольклорного...";4. ПРОБЛЕМА ТРУДОУСТРОЙСТВА
Какой предмет курьер достал из тумбочки, чтобы утолить жажду?;5c269ec6516ca8418266a602cb3d5dd5;Сны курьера состоят из...;5. БЕССОННИЦА
В каком городе, согласно воспоминаниям курьера, он находился в момент описываемых событий, если это не Мехико?;5c269ec6516ca8418266a602cb3d5dd5;Сны курьера состоят из...;5. БЕССОННИЦА
Что, по словам курьера, хранилось в двух футлярах, найденных им до вечеринки у Харвуда?;5c269ec6516ca8418266a602cb3d5dd5;Сны курьера состоят из...;5. БЕССОННИЦА
Какое устройство курьер ищет, обнаружив пропажу, и где, по его мнению, можно найти специалиста по подобному софту?;5c269ec6516ca8418266a602cb3d5dd5;Сны курьера состоят из...;5. БЕССОННИЦА
Какие предметы, помимо чаевых, пересчитывал таксер в машине, направлявшейся к мосту?;8662f010a401172d7e386fa3e087ed2d;Ямадзаки аккуратно...;6. МОСТ
Какие гаджеты использовал Ямадзаки для фиксации своих наблюдений на мосту?;8662f010a401172d7e386fa3e087ed2d;Ямадзаки аккуратно...;6. МОСТ
Какие элементы, помимо татуировочных салонов и лотков с журналами, составляли структуру моста, описанную в тексте?;8662f010a401172d7e386fa3e087ed2d;Ямадзаки аккуратно...;6. МОСТ
В каком стиле был оформлен интерьер кофейной лавки, в которой остановился Ямадзаки, и с чем он его сравнил?;8662f010a401172d7e386fa3e087ed2d;Ямадзаки аккуратно...;6. МОСТ
Какое необычное заведение построил мужик, вытащивший мотоцикл из воды?;9720ce335235d2a25b19c6c32112a762;Вот тут этот мужик он...;6. МОСТ
Что повесил мужик над стойкой в своей закусочной?;9720ce335235d2a25b19c6c32112a762;Вот тут этот мужик он...;6. МОСТ
Что интересовало Скиннера, когда Ямадзаки рассказывал о мотоцикле, и что это за предмет?;9720ce335235d2a25b19c6c32112a762;Вот тут этот мужик он...;6. МОСТ
"В каком году Томассон перешел в команду ""Иомиури Джайантс""?";06e77ad4470bbfd653093666cc0ba9c7;Исходный Томассон был...;6. МОСТ
Какую фамилию Гемпей Акасегава стал использовать для обозначения бесполезных сооружений?;06e77ad4470bbfd653093666cc0ba9c7;Исходный Томассон был...;6. МОСТ
В каком справочнике можно найти полный набор определений термина, введенного Гемпей Акасегава?;06e77ad4470bbfd653093666cc0ba9c7;Исходный Томассон был...;6. МОСТ
Какое физическое состояние испытывает Скиннер, что делает его зависимым от других?;4d9f6fbeda8abff08d38a3f7a1be906b;Однако Скиннер седой...;6. МОСТ
Что, по мнению Ямадзаки, может объяснять замкнутость и неразговорчивость девушки, живущей в комнате Скиннера?;4d9f6fbeda8abff08d38a3f7a1be906b;Однако Скиннер седой...;6. МОСТ
Что указывало на особый статус Скиннера среди первопоселенцев моста, учитывая расположение его комнаты?;4d9f6fbeda8abff08d38a3f7a1be906b;Однако Скиннер седой...;6. МОСТ
На улице с каким названием герой заметил мокрую почтовую открытку?;1d1e0a260da28991682b3b3ff365cef1;Квартира в высоком...;6. МОСТ
Какие имена политиков девятнадцатого века встречаются в названиях улиц района, где расположена квартира героя?;1d1e0a260da28991682b3b3ff365cef1;Квартира в высоком...;6. МОСТ
Что герой заметил на верхнем столбике лестничных перил в своей квартире?;1d1e0a260da28991682b3b3ff365cef1;Квартира в высоком...;6. МОСТ
Какой предмет, по словам Райделла, Эрнандес взял из буфета для завтрака?;768ba4eb677fb266daec9071f5256ea3;Пошли на кухню а то я...;7. ЧТОБЫ ВСЕ БЫЛО О'КЕЙ
В каком месте Кевин уехал по делам, оставив Райделла и Эрнандеса одних?;768ba4eb677fb266daec9071f5256ea3;Пошли на кухню а то я...;7. ЧТОБЫ ВСЕ БЫЛО О'КЕЙ
Что, по словам Эрнандеса, Роза заставила их посадить вместо газона?;768ba4eb677fb266daec9071f5256ea3;Пошли на кухню а то я...;7. ЧТОБЫ ВСЕ БЫЛО О'КЕЙ
Какой гаджет Уолли показал Райделлу, демонстрируя его возможности?;768ba4eb677fb266daec9071f5256ea3;Пошли на кухню а то я...;7. ЧТОБЫ ВСЕ БЫЛО О'КЕЙ
Что видел Райделл, помимо голографического водопада, что привлекло его внимание?;c592ddf2290d8214bd7a19bea27f46af;Райделл стоял под...;7. ЧТОБЫ ВСЕ БЫЛО О'КЕЙ
"Какую проблему обсуждали Райделл и Эрнандес, упоминая ""долбаную гарантию""?";c592ddf2290d8214bd7a19bea27f46af;Райделл стоял под...;7. ЧТОБЫ ВСЕ БЫЛО О'КЕЙ
Что Эрнандес дал Райделлу, чтобы тот мог узнать детали своей поездки?;c592ddf2290d8214bd7a19bea27f46af;Райделл стоял под...;7. ЧТОБЫ ВСЕ БЫЛО О'КЕЙ
Каким предметом Скиннер измерял глубину пути, когда ему стало трудно карабкаться наверх и вниз?;b6a6ce98f4dff578eab73d30b8099aad;Шеветте спилось что...;8. НА ДРУГОЕ УТРО
Что, по словам Скиннера, представляет собой асфальт, и где, согласно его рассказу, его добывают?;b6a6ce98f4dff578eab73d30b8099aad;Шеветте спилось что...;8. НА ДРУГОЕ УТРО
Какую особенность имела куртка, которую Скиннер дал Шеветте, и где она была сшита?;b6a6ce98f4dff578eab73d30b8099aad;Шеветте спилось что...;8. НА ДРУГОЕ УТРО
Что Шеветта обнаружила в кармане скиннеровской куртки, и как она описала материал, из которого сделан футляр?;b6a6ce98f4dff578eab73d30b8099aad;Шеветте спилось что...;8. НА ДРУГОЕ УТРО
Какой предмет, по словам Скиннера, носила Кэтрин Хэпбсрн, похожий на те, что беспокоят Шеветту?;7ce2b904987c6d38b43d86108b2fc35b;Очки беспокоили Шеветту....;8. НА ДРУГОЕ УТРО
В каком году был отштампован год выпуска на алюминиевой армейской тарелке, на которую Скиннер выложил яичницу Шеветте?;7ce2b904987c6d38b43d86108b2fc35b;Очки беспокоили Шеветту....;8. НА ДРУГОЕ УТРО
Какие очки выпускали на одном из двух заводов в Советском Союзе, и почему они не пользовались спросом?;7ce2b904987c6d38b43d86108b2fc35b;Очки беспокоили Шеветту....;8. НА ДРУГОЕ УТРО
Какой специалист, по мнению Скиннера, мог бы проверить топливные элементы?;7ce2b904987c6d38b43d86108b2fc35b;Очки беспокоили Шеветту....;8. НА ДРУГОЕ УТРО
На каком виде транспорта, а именно какой модели, летел Райделл из Бербанке?;8dda0732bdb3f40ff909502b6e8ef259;В тот же день поближе к...;9. КОГДА ДИПЛОМАТИЯ БЕССИЛЬНА
"Какой предмет, подаренный дядей Райделла, имел надпись ""КОГДА ДИПЛОМАТИЯ БЕССИЛЬНА""?";8dda0732bdb3f40ff909502b6e8ef259;В тот же день поближе к...;9. КОГДА ДИПЛОМАТИЯ БЕССИЛЬНА
"В какую организацию, предоставляющую ""индивидуальные консервационные модули"", собиралась перевести тело своего мужа соседка Райделла?";8dda0732bdb3f40ff909502b6e8ef259;В тот же день поближе к...;9. КОГДА ДИПЛОМАТИЯ БЕССИЛЬНА
"Что такое ""Угасни в полночь"", о котором упоминает Райделл, и какова его основная деятельность?";8dda0732bdb3f40ff909502b6e8ef259;В тот же день поближе к...;9. КОГДА ДИПЛОМАТИЯ БЕССИЛЬНА
"Какое устройство использовалось в полицейской программе ""Двойник"" для розыска пропавших, и как оно функционировало?";25f87ad31d3b7b7eabf5d04674201c42;Томми Ли Джонс...;9. КОГДА ДИПЛОМАТИЯ БЕССИЛЬНА
Что, по словам Фредди, напоминала прическа черного парня, и какие детали указывали на его необычный стиль?;25f87ad31d3b7b7eabf5d04674201c42;Томми Ли Джонс...;9. КОГДА ДИПЛОМАТИЯ БЕССИЛЬНА
Какую фамилию носил отец Райделла до того, как он ее сменил на Уорбэйби, и что послужило причиной этого изменения?;25f87ad31d3b7b7eabf5d04674201c42;Томми Ли Джонс...;9. КОГДА ДИПЛОМАТИЯ БЕССИЛЬНА
Что, согласно описанию, было украдено у потерпевшего, и какое осложнение возникло в ходе расследования кражи?;25f87ad31d3b7b7eabf5d04674201c42;Томми Ли Джонс...;9. КОГДА ДИПЛОМАТИЯ БЕССИЛЬНА
Каким предметом Скиннер брился, когда Ямадзаки наблюдал за ним?;23abda25b333340c5799f9ddacc7d8de;Ямадзаки сидел на низкой...;10. СОВРЕМЕННЫЕ ТАНЦЫ
"Что Ямадзаки называл про себя ""кварталом Скиннера"" и как он это изучал, используя пятидюймовые шланги?";23abda25b333340c5799f9ddacc7d8de;Ямадзаки сидел на низкой...;10. СОВРЕМЕННЫЕ ТАНЦЫ
Какую работу выполняла девушка, с которой Ямадзаки разминулся на лестнице, и каким образом ее деятельность связана с монолитной системой связи?;23abda25b333340c5799f9ddacc7d8de;Ямадзаки сидел на низкой...;10. СОВРЕМЕННЫЕ ТАНЦЫ
Что, по словам Скиннера, произошло в первую ночь, когда люди решили захватить мост, и какие ощущения он испытывал, когда взобрался наверх?;23abda25b333340c5799f9ddacc7d8de;Ямадзаки сидел на низкой...;10. СОВРЕМЕННЫЕ ТАНЦЫ
Какую эмблему Шеветта вспомнила, находясь в здании по адресу Монтгомери, четыреста пятьдесят шесть?;5f9d453a68db071dad4fe556c10fb390;Сегодня во вторник она...;11. КРУТИ ПЕДАЛИ
Что, по словам Банни Малатесты, хранится в его велосипедной карте, превосходя возможности компьютерных систем?;5f9d453a68db071dad4fe556c10fb390;Сегодня во вторник она...;11. КРУТИ ПЕДАЛИ
Какой предмет, завернутый в пластиковый мешок, Банни послал Шеветту доставить на Бил-стрит, пятьдесят?;5f9d453a68db071dad4fe556c10fb390;Сегодня во вторник она...;11. КРУТИ ПЕДАЛИ
Каким образом Сэмьюэл Саладин Дюпре решил отомстить Рингеру, как он сам выразился?;5f9d453a68db071dad4fe556c10fb390;Сегодня во вторник она...;11. КРУТИ ПЕДАЛИ
Что ответил Банни на вопрос о месте жительства Шеветты?;65f3c6c74b7c9c3010d3c3078f4f2f11;Ведь это ненормально...;11. КРУТИ ПЕДАЛИ
Каким цветом были ободья колес велосипеда Сэмми Сэла, когда он начал преследование Шеветты?;65f3c6c74b7c9c3010d3c3078f4f2f11;Ведь это ненормально...;11. КРУТИ ПЕДАЛИ
Что Сэмми Сэл делал с Рингером на мосту?;65f3c6c74b7c9c3010d3c3078f4f2f11;Ведь это ненормально...;11. КРУТИ ПЕДАЛИ
Какой портрет украшал стену над велосипедной стоянкой, и что с ним произошло?;65f3c6c74b7c9c3010d3c3078f4f2f11;Ведь это ненормально...;11. КРУТИ ПЕДАЛИ
"Какой предмет, по словам Уорбэйби, потерял Ганс Рутгер Блике, что и послужило причиной обращения в ""Интенсекьюр""?";770b8bfd783e49fbd6bdea60c9c97e20;А тут похоже не...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
Какую модель пистолета, выглядывающую из-под жилета Шитова, разглядывал Райделл?;770b8bfd783e49fbd6bdea60c9c97e20;А тут похоже не...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
Что, по словам Орловского, хотели добиться, представляя убийство Мистера Блике как этнически мотивированное преступление?;770b8bfd783e49fbd6bdea60c9c97e20;А тут похоже не...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
Какие напитки предпочитали Шитов и Орловский, в отличие от Райделла, заказывавшего кофе?;770b8bfd783e49fbd6bdea60c9c97e20;А тут похоже не...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
Какие предметы, по словам Фредди, могли быть спрятаны в программе, используемой для анализа данных?;c22654eeb389e4c54c9da06e6b40ccfc;А вот интересно...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
Что Райделл вспомнил, когда размышлял о количестве русских сотрудников в органах правопорядка?;c22654eeb389e4c54c9da06e6b40ccfc;А вот интересно...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
Каким образом Фредди описывает свои отношения с мистером Уорбэйби?;c22654eeb389e4c54c9da06e6b40ccfc;А вот интересно...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
Какой транспорт использовался Уорбэйби и его команда, и какие особенности конструкции этого транспортного средства были отмечены Райделлом?;c22654eeb389e4c54c9da06e6b40ccfc;А вот интересно...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
"Какую информацию о Бликсе обнаружил Фредди, используя программу ""Двойник"" и снимок, полученный от русских?";94995705850ed0f34f0a516f9b6a5007;Да СанФранциско это...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
Какой предмет Райделл достал из бардачка, чтобы очистить ветровое стекло автомобиля после столкновения?;94995705850ed0f34f0a516f9b6a5007;Да СанФранциско это...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
"В каком городе, по словам Уорбэйби, Райделл ощущал себя затерянным в ""огромной решетке из света""?";94995705850ed0f34f0a516f9b6a5007;Да СанФранциско это...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
Какую компанию, занимавшуюся воровством огнетушителей и распространением слухов о человеческой крови, упомянул Уорбэйби?;94995705850ed0f34f0a516f9b6a5007;Да СанФранциско это...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
В каком месте Райделл и Фредди ожидали, пока Уорбэйби переговорит по телефону?;6310ee40a79d30cbdf13d40bd59a25ad;Видишь эту дверь вон...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
"Что привлекло внимание Райделла в ресторане, расположенном за черной дверью в холле ""Морриси""?";6310ee40a79d30cbdf13d40bd59a25ad;Видишь эту дверь вон...;12. КОНТРОЛИРУЕМЫЕ ДВИЖЕНИЯ ГЛАЗ
